Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
2024,Los Angeles Sparks,Minnesota Lynx,26,45,62,86,https://www.basketball-reference.com/wnba/boxscores/202406050LAS.html
2024,Atlanta Dream,New York Liberty,32,38,61,78,https://www.basketball-reference.com/wnba/boxscores/202406060ATL.html
2024,Washington Mystics,Chicago Sky,44,35,71,79,https://www.basketball-reference.com/wnba/boxscores/202406060WAS.html
2024,Los Angeles Sparks,Dallas Wings,38,44,81,72,https://www.basketball-reference.com/wnba/boxscores/202406070LAS.html
2024,Las Vegas Aces,Seattle Storm,28,36,65,78,https://www.basketball-reference.com/wnba/boxscores/202406070LVA.html
2024,Phoenix Mercury,Minnesota Lynx,38,35,81,80,https://www.basketball-reference.com/wnba/boxscores/202406070PHO.html
2024,Washington Mystics,Indiana Fever,40,42,83,85,https://www.basketball-reference.com/wnba/boxscores/202406070WAS.html
2024,Chicago Sky,Atlanta Dream,39,51,80,89,https://www.basketball-reference.com/wnba/boxscores/202406080CHI.html
2024,Connecticut Sun,New York Liberty,39,39,75,82,https://www.basketball-reference.com/wnba/boxscores/202406080CON.html
2024,Dallas Wings,Phoenix Mercury,32,35,90,97,https://www.basketball-reference.com/wnba/boxscores/202406090DAL.html
2024,Los Angeles Sparks,Las Vegas Aces,43,44,96,92,https://www.basketball-reference.com/wnba/boxscores/202406090LAS.html
2024,Minnesota Lynx,Seattle Storm,36,41,83,64,https://www.basketball-reference.com/wnba/boxscores/202406090MIN.html
2024,New York Liberty,Washington Mystics,45,45,93,88,https://www.basketball-reference.com/wnba/boxscores/202406090NYL.html
2024,Connecticut Sun,Indiana Fever,55,35,89,72,https://www.basketball-reference.com/wnba/boxscores/202406100CON.html
2024,Atlanta Dream,Washington Mystics,33,38,68,87,https://www.basketball-reference.com/wnba/boxscores/202406110ATL.html
2024,Las Vegas Aces,Minnesota Lynx,48,59,86,100,https://www.basketball-reference.com/wnba/boxscores/202406110LVA.html
2024,Seattle Storm,Los Angeles Sparks,48,42,95,79,https://www.basketball-reference.com/wnba/boxscores/202406110SEA.html
2024,Chicago Sky,Connecticut Sun,38,40,75,83,https://www.basketball-reference.com/wnba/boxscores/202406120CHI.html
2024,Dallas Wings,Seattle Storm,40,48,84,92,https://www.basketball-reference.com/wnba/boxscores/202406130DAL.html
2024,Indiana Fever,Atlanta Dream,59,44,91,84,https://www.basketball-reference.com/wnba/boxscores/202406130IND.html
2024,Phoenix Mercury,Las Vegas Aces,51,54,99,103,https://www.basketball-reference.com/wnba/boxscores/202406130PHO.html
2024,Minnesota Lynx,Los Angeles Sparks,39,44,81,76,https://www.basketball-reference.com/wnba/boxscores/202406140MIN.html
2024,Washington Mystics,Chicago Sky,47,36,83,81,https://www.basketball-reference.com/wnba/boxscores/202406140WAS.html
2024,Dallas Wings,Connecticut Sun,33,43,67,85,https://www.basketball-reference.com/wnba/boxscores/202406150DAL.html
