Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
2023,Indiana Fever,Connecticut Sun,28,35,61,70,https://www.basketball-reference.com/wnba/boxscores/202305190IND.html
2023,Los Angeles Sparks,Phoenix Mercury,54,41,94,71,https://www.basketball-reference.com/wnba/boxscores/202305190LAS.html
2023,Minnesota Lynx,Chicago Sky,27,44,66,77,https://www.basketball-reference.com/wnba/boxscores/202305190MIN.html
2023,Washington Mystics,New York Liberty,39,26,80,64,https://www.basketball-reference.com/wnba/boxscores/202305190WAS.html
2023,Dallas Wings,Atlanta Dream,47,30,85,78,https://www.basketball-reference.com/wnba/boxscores/202305200DAL.html
2023,Seattle Storm,Las Vegas Aces,28,43,64,105,https://www.basketball-reference.com/wnba/boxscores/202305200SEA.html
2023,Connecticut Sun,Washington Mystics,34,38,80,74,https://www.basketball-reference.com/wnba/boxscores/202305210CON.html
2023,New York Liberty,Indiana Fever,62,35,90,73,https://www.basketball-reference.com/wnba/boxscores/202305210NYL.html
2023,Phoenix Mercury,Chicago Sky,35,41,69,75,https://www.basketball-reference.com/wnba/boxscores/202305210PHO.html
2023,Minnesota Lynx,Atlanta Dream,47,40,77,83,https://www.basketball-reference.com/wnba/boxscores/202305230MIN.html
2023,Washington Mystics,Connecticut Sun,42,43,81,88,https://www.basketball-reference.com/wnba/boxscores/202305230WAS.html
2023,Los Angeles Sparks,Las Vegas Aces,46,36,85,94,https://www.basketball-reference.com/wnba/boxscores/202305250LAS.html
2023,Phoenix Mercury,Minnesota Lynx,57,40,90,81,https://www.basketball-reference.com/wnba/boxscores/202305250PHO.html
2023,Chicago Sky,Washington Mystics,34,40,69,71,https://www.basketball-reference.com/wnba/boxscores/202305260CHI.html
2023,Seattle Storm,Dallas Wings,41,52,91,95,https://www.basketball-reference.com/wnba/boxscores/202305260SEA.html
2023,Las Vegas Aces,Los Angeles Sparks,59,28,93,65,https://www.basketball-reference.com/wnba/boxscores/202305270LVA.html
2023,New York Liberty,Connecticut Sun,32,38,81,65,https://www.basketball-reference.com/wnba/boxscores/202305270NYL.html
2023,Atlanta Dream,Indiana Fever,47,41,87,90,https://www.basketball-reference.com/wnba/boxscores/202305280ATL.html
2023,Chicago Sky,Dallas Wings,49,45,94,88,https://www.basketball-reference.com/wnba/boxscores/202305280CHI.html
2023,Las Vegas Aces,Minnesota Lynx,50,38,94,73,https://www.basketball-reference.com/wnba/boxscores/202305280LVA.html
2023,Atlanta Dream,Chicago Sky,40,25,83,65,https://www.basketball-reference.com/wnba/boxscores/202305300ATL.html
2023,Connecticut Sun,Indiana Fever,38,34,81,78,https://www.basketball-reference.com/wnba/boxscores/202305300CON.html
