Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
"7:30 PM, October 18, 2022",BOS,PHI,63,63,126,117,https://www.basketball-reference.com/boxscores/202210180BOS.html
"10:00 PM, October 18, 2022",GSW,LAL,59,52,123,109,https://www.basketball-reference.com/boxscores/202210180GSW.html
"7:30 PM, October 19, 2022",ATL,HOU,59,50,117,107,https://www.basketball-reference.com/boxscores/202210190ATL.html
"7:30 PM, October 19, 2022",BRK,NOP,50,58,108,130,https://www.basketball-reference.com/boxscores/202210190BRK.html
"7:00 PM, October 19, 2022",DET,ORL,57,55,113,109,https://www.basketball-reference.com/boxscores/202210190DET.html
"7:00 PM, October 19, 2022",IND,WAS,52,60,107,114,https://www.basketball-reference.com/boxscores/202210190IND.html
"7:30 PM, October 19, 2022",MEM,NYK,61,46,115,112,https://www.basketball-reference.com/boxscores/202210190MEM.html
"7:30 PM, October 19, 2022",MIA,CHI,59,59,108,116,https://www.basketball-reference.com/boxscores/202210190MIA.html
"8:00 PM, October 19, 2022",MIN,OKC,65,52,115,108,https://www.basketball-reference.com/boxscores/202210190MIN.html
"10:00 PM, October 19, 2022",PHO,DAL,45,62,107,105,https://www.basketball-reference.com/boxscores/202210190PHO.html
"10:00 PM, October 19, 2022",SAC,POR,55,51,108,115,https://www.basketball-reference.com/boxscores/202210190SAC.html
"8:00 PM, October 19, 2022",SAS,CHO,47,68,102,129,https://www.basketball-reference.com/boxscores/202210190SAS.html
"7:30 PM, October 19, 2022",TOR,CLE,51,57,108,105,https://www.basketball-reference.com/boxscores/202210190TOR.html
"9:00 PM, October 19, 2022",UTA,DEN,75,53,123,102,https://www.basketball-reference.com/boxscores/202210190UTA.html
"10:00 PM, October 20, 2022",LAL,LAC,56,56,97,103,https://www.basketball-reference.com/boxscores/202210200LAL.html
"7:30 PM, October 20, 2022",PHI,MIL,45,47,88,90,https://www.basketball-reference.com/boxscores/202210200PHI.html
"7:30 PM, October 21, 2022",ATL,ORL,50,54,108,98,https://www.basketball-reference.com/boxscores/202210210ATL.html
"7:30 PM, October 21, 2022",BRK,TOR,49,52,109,105,https://www.basketball-reference.com/boxscores/202210210BRK.html
"7:00 PM, October 21, 2022",CHO,NOP,51,61,112,124,https://www.basketball-reference.com/boxscores/202210210CHO.html
"10:00 PM, October 21, 2022",GSW,DEN,52,70,123,128,https://www.basketball-reference.com/boxscores/202210210GSW.html
"8:00 PM, October 21, 2022",HOU,MEM,70,62,122,129,https://www.basketball-reference.com/boxscores/202210210HOU.html
"7:00 PM, October 21, 2022",IND,SAS,55,70,134,137,https://www.basketball-reference.com/boxscores/202210210IND.html
"7:30 PM, October 21, 2022",MIA,BOS,51,59,104,111,https://www.basketball-reference.com/boxscores/202210210MIA.html
"8:00 PM, October 21, 2022",MIN,UTA,64,55,126,132,https://www.basketball-reference.com/boxscores/202210210MIN.html
"7:30 PM, October 21, 2022",NYK,DET,72,52,130,106,https://www.basketball-reference.com/boxscores/202210210NYK.html
"10:00 PM, October 21, 2022",POR,PHO,47,53,113,111,https://www.basketball-reference.com/boxscores/202210210POR.html
"7:00 PM, October 21, 2022",WAS,CHI,56,50,102,100,https://www.basketball-reference.com/boxscores/202210210WAS.html
"8:00 PM, October 22, 2022",CHI,CLE,54,70,96,128,https://www.basketball-reference.com/boxscores/202210220CHI.html
"8:30 PM, October 22, 2022",DAL,MEM,64,36,137,96,https://www.basketball-reference.com/boxscores/202210220DAL.html
"9:00 PM, October 22, 2022",DEN,OKC,55,55,122,117,https://www.basketball-reference.com/boxscores/202210220DEN.html
"7:00 PM, October 22, 2022",IND,DET,52,56,124,115,https://www.basketball-reference.com/boxscores/202210220IND.html
"8:00 PM, October 22, 2022",MIA,TOR,71,50,112,109,https://www.basketball-reference.com/boxscores/202210220MIA.html
"8:00 PM, October 22, 2022",MIL,HOU,67,48,125,105,https://www.basketball-reference.com/boxscores/202210220MIL.html
"7:00 PM, October 22, 2022",ORL,BOS,68,68,120,126,https://www.basketball-reference.com/boxscores/202210220ORL.html
"6:00 PM, October 22, 2022",PHI,SAS,51,54,105,114,https://www.basketball-reference.com/boxscores/202210220PHI.html
"10:00 PM, October 22, 2022",SAC,LAC,55,52,109,111,https://www.basketball-reference.com/boxscores/202210220SAC.html
"5:00 PM, October 23, 2022",ATL,CHO,55,59,109,126,https://www.basketball-reference.com/boxscores/202210230ATL.html
"7:00 PM, October 23, 2022",CLE,WAS,57,51,117,107,https://www.basketball-reference.com/boxscores/202210230CLE.html
"8:30 PM, October 23, 2022",GSW,SAC,89,71,130,125,https://www.basketball-reference.com/boxscores/202210230GSW.html
"10:00 PM, October 23, 2022",LAC,PHO,41,61,95,112,https://www.basketball-reference.com/boxscores/202210230LAC.html
"3:30 PM, October 23, 2022",LAL,POR,48,55,104,106,https://www.basketball-reference.com/boxscores/202210230LAL.html
"7:00 PM, October 23, 2022",NOP,UTA,53,63,121,122,https://www.basketball-reference.com/boxscores/202210230NOP.html
"8:00 PM, October 23, 2022",OKC,MIN,44,53,106,116,https://www.basketball-reference.com/boxscores/202210230OKC.html
"8:00 PM, October 24, 2022",CHI,BOS,65,54,120,102,https://www.basketball-reference.com/boxscores/202210240CHI.html
"8:00 PM, October 24, 2022",HOU,UTA,51,45,114,108,https://www.basketball-reference.com/boxscores/202210240HOU.html
"8:00 PM, October 24, 2022",MEM,BRK,64,69,134,124,https://www.basketball-reference.com/boxscores/202210240MEM.html
"7:30 PM, October 24, 2022",MIA,TOR,43,48,90,98,https://www.basketball-reference.com/boxscores/202210240MIA.html
"8:00 PM, October 24, 2022",MIN,SAS,57,67,106,115,https://www.basketball-reference.com/boxscores/202210240MIN.html
"7:30 PM, October 24, 2022",NYK,ORL,65,59,115,102,https://www.basketball-reference.com/boxscores/202210240NYK.html
"7:00 PM, October 24, 2022",PHI,IND,64,46,120,106,https://www.basketball-reference.com/boxscores/202210240PHI.html
"10:00 PM, October 24, 2022",POR,DEN,55,61,135,110,https://www.basketball-reference.com/boxscores/202210240POR.html
"7:30 PM, October 25, 2022",NOP,DAL,66,64,113,111,https://www.basketball-reference.com/boxscores/202210250NOP.html
"8:00 PM, October 25, 2022",OKC,LAC,49,43,108,94,https://www.basketball-reference.com/boxscores/202210250OKC.html
"10:00 PM, October 25, 2022",PHO,GSW,72,66,134,105,https://www.basketball-reference.com/boxscores/202210250PHO.html
"7:00 PM, October 25, 2022",WAS,DET,56,49,120,99,https://www.basketball-reference.com/boxscores/202210250WAS.html
"8:00 PM, October 26, 2022",CHI,IND,76,57,124,109,https://www.basketball-reference.com/boxscores/202210260CHI.html
"7:00 PM, October 26, 2022",CLE,ORL,54,50,103,92,https://www.basketball-reference.com/boxscores/202210260CLE.html
"10:00 PM, October 26, 2022",DEN,LAL,54,54,110,99,https://www.basketball-reference.com/boxscores/202210260DEN.html
"7:00 PM, October 26, 2022",DET,ATL,61,62,113,118,https://www.basketball-reference.com/boxscores/202210260DET.html
"7:30 PM, October 26, 2022",MIL,BRK,43,55,110,99,https://www.basketball-reference.com/boxscores/202210260MIL.html
"8:00 PM, October 26, 2022",MIN,SAS,68,53,134,122,https://www.basketball-reference.com/boxscores/202210260MIN.html
"7:30 PM, October 26, 2022",NYK,CHO,69,62,134,131,https://www.basketball-reference.com/boxscores/202210260NYK.html
"10:00 PM, October 26, 2022",POR,MIA,56,61,98,119,https://www.basketball-reference.com/boxscores/202210260POR.html
"7:30 PM, October 26, 2022",TOR,PHI,63,53,119,109,https://www.basketball-reference.com/boxscores/202210260TOR.html
"9:00 PM, October 26, 2022",UTA,HOU,61,49,109,101,https://www.basketball-reference.com/boxscores/202210260UTA.html
"7:30 PM, October 27, 2022",BRK,DAL,59,61,125,129,https://www.basketball-reference.com/boxscores/202210270BRK.html
"10:00 PM, October 27, 2022",GSW,MIA,63,59,123,110,https://www.basketball-reference.com/boxscores/202210270GSW.html
"8:00 PM, October 27, 2022",OKC,LAC,53,60,118,110,https://www.basketball-reference.com/boxscores/202210270OKC.html
"10:00 PM, October 27, 2022",SAC,MEM,56,63,110,125,https://www.basketball-reference.com/boxscores/202210270SAC.html
"7:30 PM, October 28, 2022",BOS,CLE,75,62,123,132,https://www.basketball-reference.com/boxscores/202210280BOS.html
"9:00 PM, October 28, 2022",DEN,UTA,63,50,117,101,https://www.basketball-reference.com/boxscores/202210280DEN.html
"7:00 PM, October 28, 2022",DET,ATL,67,69,112,136,https://www.basketball-reference.com/boxscores/202210280DET.html
"8:00 PM, October 28, 2022",MIL,NYK,59,53,119,108,https://www.basketball-reference.com/boxscores/202210280MIL.html
"8:00 PM, October 28, 2022",MIN,LAL,52,52,111,102,https://www.basketball-reference.com/boxscores/202210280MIN.html
"7:00 PM, October 28, 2022",ORL,CHO,51,30,113,93,https://www.basketball-reference.com/boxscores/202210280ORL.html
"10:00 PM, October 28, 2022",PHO,NOP,57,52,124,111,https://www.basketball-reference.com/boxscores/202210280PHO.html
"10:00 PM, October 28, 2022",POR,HOU,69,58,125,111,https://www.basketball-reference.com/boxscores/202210280POR.html
"8:30 PM, October 28, 2022",SAS,CHI,62,60,129,124,https://www.basketball-reference.com/boxscores/202210280SAS.html
"7:30 PM, October 28, 2022",TOR,PHI,48,65,90,112,https://www.basketball-reference.com/boxscores/202210280TOR.html
"7:30 PM, October 28, 2022",WAS,IND,60,75,117,127,https://www.basketball-reference.com/boxscores/202210280WAS.html
"7:30 PM, October 29, 2022",BRK,IND,62,63,116,125,https://www.basketball-reference.com/boxscores/202210290BRK.html
"8:00 PM, October 29, 2022",CHI,PHI,56,64,109,114,https://www.basketball-reference.com/boxscores/202210290CHI.html
"7:00 PM, October 29, 2022",CHO,GSW,62,50,120,113,https://www.basketball-reference.com/boxscores/202210290CHO.html
"9:00 PM, October 29, 2022",DAL,OKC,51,46,111,117,https://www.basketball-reference.com/boxscores/202210290DAL.html
"8:00 PM, October 29, 2022",MIL,ATL,59,51,123,115,https://www.basketball-reference.com/boxscores/202210290MIL.html
"6:00 PM, October 29, 2022",SAC,MIA,71,49,119,113,https://www.basketball-reference.com/boxscores/202210290SAC.html
"9:00 PM, October 29, 2022",UTA,MEM,62,54,124,123,https://www.basketball-reference.com/boxscores/202210290UTA.html
"6:00 PM, October 30, 2022",BOS,WAS,58,47,112,94,https://www.basketball-reference.com/boxscores/202210300BOS.html
"6:00 PM, October 30, 2022",CLE,NYK,62,59,121,108,https://www.basketball-reference.com/boxscores/202210300CLE.html
"7:30 PM, October 30, 2022",DAL,ORL,60,60,114,105,https://www.basketball-reference.com/boxscores/202210300DAL.html
"6:00 PM, October 30, 2022",DET,GSW,63,55,128,114,https://www.basketball-reference.com/boxscores/202210300DET.html
"3:00 PM, October 30, 2022",LAC,NOP,52,52,91,112,https://www.basketball-reference.com/boxscores/202210300LAC.html
"9:30 PM, October 30, 2022",LAL,DEN,55,51,121,110,https://www.basketball-reference.com/boxscores/202210300LAL.html
"9:00 PM, October 30, 2022",PHO,HOU,65,56,124,109,https://www.basketball-reference.com/boxscores/202210300PHO.html
"7:00 PM, October 30, 2022",SAS,MIN,57,47,107,98,https://www.basketball-reference.com/boxscores/202210300SAS.html
"7:30 PM, October 31, 2022",BRK,IND,61,54,116,109,https://www.basketball-reference.com/boxscores/202210310BRK.html
"7:00 PM, October 31, 2022",CHO,SAC,67,52,108,115,https://www.basketball-reference.com/boxscores/202210310CHO.html
"10:30 PM, October 31, 2022",LAC,HOU,51,52,95,93,https://www.basketball-reference.com/boxscores/202210310LAC.html
"8:00 PM, October 31, 2022",MIL,DET,60,52,110,108,https://www.basketball-reference.com/boxscores/202210310MIL.html
"7:30 PM, October 31, 2022",TOR,ATL,64,53,139,109,https://www.basketball-reference.com/boxscores/202210310TOR.html
"9:00 PM, October 31, 2022",UTA,MEM,61,44,121,105,https://www.basketball-reference.com/boxscores/202210310UTA.html
"7:00 PM, October 31, 2022",WAS,PHI,52,52,111,118,https://www.basketball-reference.com/boxscores/202210310WAS.html
"7:30 PM, November 1, 2022",BRK,CHI,58,52,99,108,https://www.basketball-reference.com/boxscores/202211010BRK.html
"7:30 PM, November 1, 2022",MIA,GSW,58,56,116,109,https://www.basketball-reference.com/boxscores/202211010MIA.html
"8:00 PM, November 1, 2022",OKC,ORL,63,66,116,108,https://www.basketball-reference.com/boxscores/202211010OKC.html
"10:00 PM, November 1, 2022",PHO,MIN,54,47,116,107,https://www.basketball-reference.com/boxscores/202211010PHO.html
"8:00 PM, November 2, 2022",CHI,CHO,61,52,106,88,https://www.basketball-reference.com/boxscores/202211020CHI.html
"7:30 PM, November 2, 2022",CLE,BOS,50,56,114,113,https://www.basketball-reference.com/boxscores/202211020CLE.html
"8:30 PM, November 2, 2022",DAL,UTA,47,50,103,100,https://www.basketball-reference.com/boxscores/202211020DAL.html
"8:00 PM, November 2, 2022",HOU,LAC,53,56,101,109,https://www.basketball-reference.com/boxscores/202211020HOU.html
"10:30 PM, November 2, 2022",LAL,NOP,56,44,120,117,https://www.basketball-reference.com/boxscores/202211020LAL.html
"7:30 PM, November 2, 2022",MIA,SAC,53,51,110,107,https://www.basketball-reference.com/boxscores/202211020MIA.html
"8:00 PM, November 2, 2022",MIL,DET,56,47,116,91,https://www.basketball-reference.com/boxscores/202211020MIL.html
"7:30 PM, November 2, 2022",NYK,ATL,65,57,99,112,https://www.basketball-reference.com/boxscores/202211020NYK.html
"6:00 PM, November 2, 2022",PHI,WAS,51,57,111,121,https://www.basketball-reference.com/boxscores/202211020PHI.html
"10:00 PM, November 2, 2022",POR,MEM,45,52,106,111,https://www.basketball-reference.com/boxscores/202211020POR.html
"8:00 PM, November 2, 2022",SAS,TOR,49,64,100,143,https://www.basketball-reference.com/boxscores/202211020SAS.html
"8:00 PM, November 3, 2022",OKC,DEN,57,71,110,122,https://www.basketball-reference.com/boxscores/202211030OKC.html
"7:00 PM, November 3, 2022",ORL,GSW,53,65,130,129,https://www.basketball-reference.com/boxscores/202211030ORL.html
"7:30 PM, November 4, 2022",BOS,CHI,63,57,123,119,https://www.basketball-reference.com/boxscores/202211040BOS.html
"8:30 PM, November 4, 2022",DAL,TOR,62,57,111,110,https://www.basketball-reference.com/boxscores/202211040DAL.html
"7:00 PM, November 4, 2022",DET,CLE,39,57,88,112,https://www.basketball-reference.com/boxscores/202211040DET.html
"7:00 PM, November 4, 2022",IND,MIA,62,50,101,99,https://www.basketball-reference.com/boxscores/202211040IND.html
"10:30 PM, November 4, 2022",LAL,UTA,62,75,116,130,https://www.basketball-reference.com/boxscores/202211040LAL.html
"8:00 PM, November 4, 2022",MEM,CHO,71,47,130,99,https://www.basketball-reference.com/boxscores/202211040MEM.html
"10:00 PM, November 4, 2022",MIN,MIL,54,61,102,115,https://www.basketball-reference.com/boxscores/202211040MIN.html
"8:30 PM, November 4, 2022",NOP,GSW,61,54,114,105,https://www.basketball-reference.com/boxscores/202211040NOP.html
"7:00 PM, November 4, 2022",PHI,NYK,53,58,104,106,https://www.basketball-reference.com/boxscores/202211040PHI.html
"10:00 PM, November 4, 2022",PHO,POR,49,59,106,108,https://www.basketball-reference.com/boxscores/202211040PHO.html
"8:00 PM, November 4, 2022",SAS,LAC,58,54,106,113,https://www.basketball-reference.com/boxscores/202211040SAS.html
"7:00 PM, November 4, 2022",WAS,BRK,57,69,86,128,https://www.basketball-reference.com/boxscores/202211040WAS.html
"7:30 PM, November 5, 2022",ATL,NOP,60,52,124,121,https://www.basketball-reference.com/boxscores/202211050ATL.html
"7:00 PM, November 5, 2022",CHO,BRK,44,52,94,98,https://www.basketball-reference.com/boxscores/202211050CHO.html
"9:00 PM, November 5, 2022",DEN,SAS,70,51,126,101,https://www.basketball-reference.com/boxscores/202211050DEN.html
"8:00 PM, November 5, 2022",MIL,OKC,67,53,108,94,https://www.basketball-reference.com/boxscores/202211050MIL.html
"8:00 PM, November 5, 2022",MIN,HOU,68,49,129,117,https://www.basketball-reference.com/boxscores/202211050MIN.html
"7:30 PM, November 5, 2022",NYK,BOS,66,67,118,133,https://www.basketball-reference.com/boxscores/202211050NYK.html
"5:00 PM, November 5, 2022",ORL,SAC,65,47,123,126,https://www.basketball-reference.com/boxscores/202211050ORL.html
"10:00 PM, November 5, 2022",PHO,POR,61,40,102,82,https://www.basketball-reference.com/boxscores/202211050PHO.html
"10:00 PM, November 6, 2022",LAC,UTA,56,63,102,110,https://www.basketball-reference.com/boxscores/202211060LAC.html
"3:30 PM, November 6, 2022",LAL,CLE,64,58,100,114,https://www.basketball-reference.com/boxscores/202211060LAL.html
"6:00 PM, November 6, 2022",MEM,WAS,57,43,103,97,https://www.basketball-reference.com/boxscores/202211060MEM.html
"6:00 PM, November 6, 2022",TOR,CHI,55,49,113,104,https://www.basketball-reference.com/boxscores/202211060TOR.html
"8:15 PM, November 7, 2022",ATL,MIL,52,58,117,98,https://www.basketball-reference.com/boxscores/202211070ATL.html
"8:45 PM, November 7, 2022",CHI,TOR,58,53,111,97,https://www.basketball-reference.com/boxscores/202211070CHI.html
"7:00 PM, November 7, 2022",CHO,WAS,48,46,100,108,https://www.basketball-reference.com/boxscores/202211070CHO.html
"9:45 PM, November 7, 2022",DAL,BRK,53,50,96,94,https://www.basketball-reference.com/boxscores/202211070DAL.html
"7:30 PM, November 7, 2022",DET,OKC,48,63,112,103,https://www.basketball-reference.com/boxscores/202211070DET.html
"10:00 PM, November 7, 2022",GSW,SAC,55,67,116,113,https://www.basketball-reference.com/boxscores/202211070GSW.html
"7:45 PM, November 7, 2022",IND,NOP,58,55,129,122,https://www.basketball-reference.com/boxscores/202211070IND.html
"10:30 PM, November 7, 2022",LAC,CLE,64,64,119,117,https://www.basketball-reference.com/boxscores/202211070LAC.html
"9:00 PM, November 7, 2022",MEM,BOS,54,65,106,109,https://www.basketball-reference.com/boxscores/202211070MEM.html
