Game_Date,Home_Team,Away_Team,Halftime_Score_Home,Halftime_Score_Away,Final_Score_Home,Final_Score_Away,Game_URL
"8:30 PM, November 7, 2022",MIA,POR,60,53,107,110,https://www.basketball-reference.com/boxscores/202211070MIA.html
"9:15 PM, November 7, 2022",MIN,NYK,52,76,107,120,https://www.basketball-reference.com/boxscores/202211070MIN.html
"7:15 PM, November 7, 2022",ORL,HOU,65,71,127,134,https://www.basketball-reference.com/boxscores/202211070ORL.html
"8:00 PM, November 7, 2022",PHI,PHO,56,47,100,88,https://www.basketball-reference.com/boxscores/202211070PHI.html
"9:30 PM, November 7, 2022",SAS,DEN,62,65,109,115,https://www.basketball-reference.com/boxscores/202211070SAS.html
"10:15 PM, November 7, 2022",UTA,LAL,76,71,139,116,https://www.basketball-reference.com/boxscores/202211070UTA.html
"7:30 PM, November 9, 2022",ATL,UTA,54,63,119,125,https://www.basketball-reference.com/boxscores/202211090ATL.html
"7:30 PM, November 9, 2022",BOS,DET,63,49,128,112,https://www.basketball-reference.com/boxscores/202211090BOS.html
"7:30 PM, November 9, 2022",BRK,NYK,69,44,112,85,https://www.basketball-reference.com/boxscores/202211090BRK.html
"8:00 PM, November 9, 2022",CHI,NOP,50,52,111,115,https://www.basketball-reference.com/boxscores/202211090CHI.html
"7:00 PM, November 9, 2022",CHO,POR,53,58,95,105,https://www.basketball-reference.com/boxscores/202211090CHO.html
"7:00 PM, November 9, 2022",IND,DEN,70,56,119,122,https://www.basketball-reference.com/boxscores/202211090IND.html
"10:00 PM, November 9, 2022",LAC,LAL,54,52,114,101,https://www.basketball-reference.com/boxscores/202211090LAC.html
"8:00 PM, November 9, 2022",MIN,PHO,51,69,117,129,https://www.basketball-reference.com/boxscores/202211090MIN.html
"8:00 PM, November 9, 2022",OKC,MIL,55,55,132,136,https://www.basketball-reference.com/boxscores/202211090OKC.html
"5:30 PM, November 9, 2022",ORL,DAL,50,54,94,87,https://www.basketball-reference.com/boxscores/202211090ORL.html
"10:00 PM, November 9, 2022",SAC,CLE,69,58,127,120,https://www.basketball-reference.com/boxscores/202211090SAC.html
"8:00 PM, November 9, 2022",SAS,MEM,59,66,122,124,https://www.basketball-reference.com/boxscores/202211090SAS.html
"7:30 PM, November 9, 2022",TOR,HOU,57,54,116,109,https://www.basketball-reference.com/boxscores/202211090TOR.html
"7:30 PM, November 10, 2022",ATL,PHI,46,42,104,95,https://www.basketball-reference.com/boxscores/202211100ATL.html
"7:30 PM, November 10, 2022",MIA,CHO,58,50,117,112,https://www.basketball-reference.com/boxscores/202211100MIA.html
"8:00 PM, November 10, 2022",NOP,POR,57,51,95,106,https://www.basketball-reference.com/boxscores/202211100NOP.html
"7:00 PM, November 10, 2022",WAS,DAL,58,61,113,105,https://www.basketball-reference.com/boxscores/202211100WAS.html
"7:00 PM, November 11, 2022",BOS,DEN,66,57,131,112,https://www.basketball-reference.com/boxscores/202211110BOS.html
"10:00 PM, November 11, 2022",GSW,CLE,48,52,106,101,https://www.basketball-reference.com/boxscores/202211110GSW.html
"10:30 PM, November 11, 2022",LAL,SAC,60,56,114,120,https://www.basketball-reference.com/boxscores/202211110LAL.html
"9:30 PM, November 11, 2022",MEM,MIN,72,63,114,103,https://www.basketball-reference.com/boxscores/202211110MEM.html
"7:30 PM, November 11, 2022",NYK,DET,68,58,121,112,https://www.basketball-reference.com/boxscores/202211110NYK.html
"8:00 PM, November 11, 2022",OKC,TOR,70,56,132,113,https://www.basketball-reference.com/boxscores/202211110OKC.html
"7:00 PM, November 11, 2022",ORL,PHO,58,52,114,97,https://www.basketball-reference.com/boxscores/202211110ORL.html
"8:00 PM, November 11, 2022",SAS,MIL,54,46,111,93,https://www.basketball-reference.com/boxscores/202211110SAS.html
"8:30 PM, November 12, 2022",DAL,POR,59,57,117,112,https://www.basketball-reference.com/boxscores/202211120DAL.html
"7:00 PM, November 12, 2022",DET,BOS,57,55,108,117,https://www.basketball-reference.com/boxscores/202211120DET.html
"7:00 PM, November 12, 2022",IND,TOR,52,65,118,104,https://www.basketball-reference.com/boxscores/202211120IND.html
"4:00 PM, November 12, 2022",LAC,BRK,50,54,95,110,https://www.basketball-reference.com/boxscores/202211120LAC.html
"8:00 PM, November 12, 2022",MIA,CHO,57,59,132,115,https://www.basketball-reference.com/boxscores/202211120MIA.html
"8:30 PM, November 12, 2022",NOP,HOU,63,50,119,106,https://www.basketball-reference.com/boxscores/202211120NOP.html
"7:30 PM, November 12, 2022",PHI,ATL,67,51,121,109,https://www.basketball-reference.com/boxscores/202211120PHI.html
"6:00 PM, November 12, 2022",WAS,UTA,61,55,121,112,https://www.basketball-reference.com/boxscores/202211120WAS.html
"8:00 PM, November 13, 2022",CHI,DEN,47,62,103,126,https://www.basketball-reference.com/boxscores/202211130CHI.html
"6:00 PM, November 13, 2022",CLE,MIN,50,67,124,129,https://www.basketball-reference.com/boxscores/202211130CLE.html
"9:30 PM, November 13, 2022",LAL,BRK,55,46,116,103,https://www.basketball-reference.com/boxscores/202211130LAL.html
"12:00 PM, November 13, 2022",NYK,OKC,73,79,135,145,https://www.basketball-reference.com/boxscores/202211130NYK.html
"7:30 PM, November 13, 2022",PHI,UTA,51,57,105,98,https://www.basketball-reference.com/boxscores/202211130PHI.html
"9:00 PM, November 13, 2022",SAC,GSW,64,62,122,115,https://www.basketball-reference.com/boxscores/202211130SAC.html
"6:00 PM, November 13, 2022",WAS,MEM,55,51,102,92,https://www.basketball-reference.com/boxscores/202211130WAS.html
"7:30 PM, November 14, 2022",BOS,OKC,62,69,126,122,https://www.basketball-reference.com/boxscores/202211140BOS.html
"7:00 PM, November 14, 2022",DET,TOR,51,58,111,115,https://www.basketball-reference.com/boxscores/202211140DET.html
"10:00 PM, November 14, 2022",GSW,SAS,61,45,132,95,https://www.basketball-reference.com/boxscores/202211140GSW.html
"8:00 PM, November 14, 2022",HOU,LAC,46,58,106,122,https://www.basketball-reference.com/boxscores/202211140HOU.html
"7:30 PM, November 14, 2022",MIA,PHO,58,57,113,112,https://www.basketball-reference.com/boxscores/202211140MIA.html
"8:00 PM, November 14, 2022",MIL,ATL,50,63,106,121,https://www.basketball-reference.com/boxscores/202211140MIL.html
"7:00 PM, November 14, 2022",ORL,CHO,45,58,105,112,https://www.basketball-reference.com/boxscores/202211140ORL.html
"8:30 PM, November 15, 2022",DAL,LAC,54,32,103,101,https://www.basketball-reference.com/boxscores/202211150DAL.html
"7:30 PM, November 15, 2022",NOP,MEM,59,60,113,102,https://www.basketball-reference.com/boxscores/202211150NOP.html
"10:00 PM, November 15, 2022",POR,SAS,62,56,117,110,https://www.basketball-reference.com/boxscores/202211150POR.html
"10:00 PM, November 15, 2022",SAC,BRK,73,54,153,121,https://www.basketball-reference.com/boxscores/202211150SAC.html
"9:00 PM, November 15, 2022",UTA,NYK,58,61,111,118,https://www.basketball-reference.com/boxscores/202211150UTA.html
"7:30 PM, November 16, 2022",ATL,BOS,53,62,101,126,https://www.basketball-reference.com/boxscores/202211160ATL.html
"7:00 PM, November 16, 2022",CHO,IND,63,60,113,125,https://www.basketball-reference.com/boxscores/202211160CHO.html
"8:30 PM, November 16, 2022",DAL,HOU,51,57,92,101,https://www.basketball-reference.com/boxscores/202211160DAL.html
"10:00 PM, November 16, 2022",DEN,NYK,54,55,103,106,https://www.basketball-reference.com/boxscores/202211160DEN.html
"8:00 PM, November 16, 2022",MIL,CLE,61,60,113,98,https://www.basketball-reference.com/boxscores/202211160MIL.html
"8:00 PM, November 16, 2022",NOP,CHI,58,53,124,110,https://www.basketball-reference.com/boxscores/202211160NOP.html
"7:00 PM, November 16, 2022",ORL,MIN,49,74,108,126,https://www.basketball-reference.com/boxscores/202211160ORL.html
"10:00 PM, November 16, 2022",PHO,GSW,72,65,130,119,https://www.basketball-reference.com/boxscores/202211160PHO.html
"7:30 PM, November 16, 2022",TOR,MIA,54,60,112,104,https://www.basketball-reference.com/boxscores/202211160TOR.html
"7:00 PM, November 16, 2022",WAS,OKC,67,54,120,121,https://www.basketball-reference.com/boxscores/202211160WAS.html
"10:30 PM, November 17, 2022",LAC,DET,42,50,96,91,https://www.basketball-reference.com/boxscores/202211170LAC.html
"10:00 PM, November 17, 2022",POR,BRK,61,57,107,109,https://www.basketball-reference.com/boxscores/202211170POR.html
"10:00 PM, November 17, 2022",SAC,SAS,63,56,130,112,https://www.basketball-reference.com/boxscores/202211170SAC.html
"8:00 PM, November 18, 2022",CHI,ORL,52,66,107,108,https://www.basketball-reference.com/boxscores/202211180CHI.html
"7:30 PM, November 18, 2022",CLE,CHO,58,46,132,122,https://www.basketball-reference.com/boxscores/202211180CLE.html
"8:30 PM, November 18, 2022",DAL,DEN,73,55,127,99,https://www.basketball-reference.com/boxscores/202211180DAL.html
"10:00 PM, November 18, 2022",GSW,NYK,61,50,111,101,https://www.basketball-reference.com/boxscores/202211180GSW.html
"8:00 PM, November 18, 2022",HOU,IND,50,45,91,99,https://www.basketball-reference.com/boxscores/202211180HOU.html
"10:30 PM, November 18, 2022",LAL,DET,68,64,128,121,https://www.basketball-reference.com/boxscores/202211180LAL.html
"8:00 PM, November 18, 2022",MEM,OKC,63,59,121,110,https://www.basketball-reference.com/boxscores/202211180MEM.html
"8:30 PM, November 18, 2022",NOP,BOS,57,67,109,117,https://www.basketball-reference.com/boxscores/202211180NOP.html
"7:30 PM, November 18, 2022",PHI,MIL,55,62,110,102,https://www.basketball-reference.com/boxscores/202211180PHI.html
"9:00 PM, November 18, 2022",UTA,PHO,74,66,134,133,https://www.basketball-reference.com/boxscores/202211180UTA.html
"7:00 PM, November 18, 2022",WAS,MIA,57,69,107,106,https://www.basketball-reference.com/boxscores/202211180WAS.html
"6:00 PM, November 19, 2022",ATL,TOR,55,62,124,122,https://www.basketball-reference.com/boxscores/202211190ATL.html
"7:00 PM, November 19, 2022",IND,ORL,51,55,114,113,https://www.basketball-reference.com/boxscores/202211190IND.html
