game_id,league,comeback_team_cbt,opponent_team_opp,game_date,media_outlet,url_of_article,headline,author_written,player_quotes,coach_quotes,c_att_ind_resilience,o_att_ind_resilience,c_att_self_efficacy,o_att_self_efficacy,c_att_team_efficacy_cohesion,o_att_team_efficacy_cohesion,c_att_verbal_persuasion,o_att_verbal_persuasion,c_att_emotional_reg,o_att_emotional_reg,c_aft_momentum_lang,o_aft_momentum_lang,c_aft_draining_lang,o_aft_draining_lang,c_aft_perf_outcome_lang,o_aft_perf_outcome_lang,c_gendered_lang,o_gendered_lang,cbt_psych_score,opp_psych_score,cbt_after_score,opp_after_score,snippet_count,media_outlet_grouped
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,The Kings Herald,https://kingsherald.com/articles/kings-117-hawks-110-swipa-the-game/,"Kings 117, Hawks 110: Swipa The Game",27,0,0,3,0,0,0,4,0,1,0,0,0,5,1,1,1,19,0,0,0,8,0,25,2,35,Other
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401585059,De'Aaron Fox's big second half leads Kings to 117-110 come-from-behind win over Hawks,19,3,4,7,0,2,0,7,2,0,0,2,0,4,2,0,3,10,9,0,0,18,2,14,14,48,ESPN
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,NYT Athletic,https://www.nytimes.com/athletic/5169320/2023/12/30/deaaron-fox-career-high-3s-kings-hawks/,De’Aaron Fox sets career high for made 3s as Kings overcome 23-point deficit,45,15,14,10,0,3,0,19,0,13,0,0,0,3,0,0,0,41,0,0,0,45,0,44,0,89,NYT Athletic
nba_01,NBA,Sacramento Kings,Atlanta Hawks,12-29-2023,SI,https://www.si.com/nba/hawks/news/atlantas-late-game-offense-costs-them-yet-again-in-a-117-110-loss-to-the-kings,Atlanta's Late Game Offense Costs Them yet Again in a 117-110 Loss to the Kings,49,0,0,3,2,0,0,6,5,0,0,0,0,4,6,0,6,11,26,0,0,9,7,15,38,69,SI
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584988,"Ja Morant scores 34 in return from ban, hits game-winner at horn to lift Grizzlies over Pelicans",22,9,5,15,0,2,1,2,2,4,2,1,0,1,2,0,2,11,9,0,0,24,5,12,13,54,ESPN
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,NYT Athletic,https://www.nytimes.com/athletic/5147182/2023/12/20/ja-morant-nba-grizzlies-return-suspension/,Ja Morant’s buzzer-beater lifts Grizzlies to win vs. Pelicans in guard’s return from suspension,25,9,8,12,0,5,0,9,0,4,0,5,0,1,0,0,0,16,1,0,0,35,0,17,1,53,NYT Athletic
nba_02,NBA,Memphis Grizzlies,New Orleans Pelicans,12-19-2023,SI,https://www.si.com/nba/pelicans/news/ja-morant-last-second-shot-for-grizzlies-snaps-pelicans-winning-streak,Ja Morant Last Second Shot For Grizzlies Snaps Pelicans Winning Streak,31,0,0,7,0,0,0,2,0,0,0,0,0,3,1,0,3,8,15,0,0,9,0,11,19,39,SI
nba_03,NBA,Toronto Raptors,Washington Wizards,11-13-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584817,"Siakam scores season-high 39, Raptors overcome 23-point deficit to beat Wizards",22,2,1,6,0,0,0,6,0,0,0,0,0,6,1,0,3,14,8,0,0,12,0,20,12,44,ESPN
nba_03,NBA,Toronto Raptors,Washington Wizards,11-13-2023,NYT Athletic,https://www.nytimes.com/athletic/5061711/2023/11/14/raptors-comeback-win-wizards/,Raptors’ defensive plusses and minuses evident in comeback win over Wizards,49,8,6,2,0,0,0,6,0,7,0,4,0,4,1,0,1,39,3,0,0,19,0,43,5,67,NYT Athletic
nba_03,NBA,Toronto Raptors,Washington Wizards,11-13-2023,Raptors HQ,https://www.raptorshq.com/2023/11/13/23959970/toronto-raptors-vs-washington-wizards-final-111-107-raptors-make-monumental-comeback-to-win,Toronto Raptors vs Washington Wizards Final: 111-107 — Raptors make monumental comeback to win,41,0,0,5,1,1,0,1,0,4,0,1,0,3,2,1,0,23,6,0,0,12,1,27,8,48,Other
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,Canis Hoopus,https://www.canishoopus.com/game-recaps/2023/10/30/23939430/wolves-vs-hawks-final-score-recap-nba-dejounte-murray-anthony-edwards-rudy-gobert-chris-finch,"Hawks 127, Wolves 113: A Brutal Meltdown in Atlanta",27,0,0,2,0,0,0,0,2,0,0,0,1,4,4,0,6,2,15,0,0,2,3,6,25,36,Other
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,ESPN,https://www.espn.com/nba/recap/_/gameId/401584732,"Dejounte Murray ties career high with 41 points, rallies Hawks past Timberwolves 127-113",21,1,3,9,0,1,0,6,0,2,0,0,0,7,1,0,1,10,8,0,0,18,0,17,10,45,ESPN
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,NYT Athletic,https://www.nytimes.com/athletic/5015804/2023/10/31/anthony-edwards-timberwolves-hawks-kat/,"Anatomy of another Timberwolves meltdown: Anthony Edwards, KAT, Chris Finch and a bad loss",49,2,1,1,1,3,0,0,5,3,0,0,0,8,0,0,24,3,24,0,0,7,6,11,48,72,NYT Athletic
nba_04,NBA,Atlanta Hawks,Minnesota Timberwolves,10-30-2023,SI,https://www.si.com/fannation/bringmethesports/timberwolves/wolves-still-kings-of-blowing-huge-leads-after-shameful-loss-to-hawks,Wolves still kings of blowing huge leads after shameful loss to Hawks,10,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,5,4,6,0,0,1,0,8,12,21,SI
nba_05,NBA,Los Angeles Clippers,Cleveland Cavaliers,04-07-2024,NYT Athletic,https://www.nytimes.com/athletic/5398243/2024/04/07/clippers-comeback-cavaliers-paul-george/,Clippers complete their largest comeback of NBA season as Paul George carries LA late vs. Cavaliers,22,12,8,4,0,2,0,10,0,3,1,1,0,3,1,0,3,14,7,0,0,20,1,17,11,49,NYT Athletic
nba_05,NBA,Los Angeles Clippers,Cleveland Cavaliers,04-07-2024,ESPN,https://www.espn.com/nba/recap/_/gameId/401585760,George scores 39 points and leads late revival as Clippers beat Cavaliers 120-118 for 50th win,27,9,2,7,0,0,0,11,2,1,0,0,0,5,2,0,1,13,15,0,0,19,2,18,18,57,ESPN
